position,title,snippet,highlighs,link,displayed_link
0,Angie Hong,"Conversation. Angie Hong · @angiekayhong · #happy. Image. 3:37 AM · Jan 1, 2024 from Cary, NC. ·. 534. Views.",['happy'],https://twitter.com/angiekayhong/status/1741664870636872164,https://twitter.com › angiekayhong › status
1,Pharrell Williams,Thank YOU for helping make #Happy a hit around the world! Share this with someone who makes you happy. open.spotify.com.,['Happy'],https://twitter.com/Pharrell/status/421682489594494976,https://twitter.com › Pharrell › status
2,Jodie,"#jodiegreat #happy #content. Embedded video. 0:28. 6:32 AM · Dec 16, 2023. ·. 33. Views.",['happy'],https://twitter.com/JodieGreat/status/1735910869026890175,https://twitter.com › JodieGreat › status
3,Rachel Federoff,"Rachel Federoff · @RachelFederoff. Choose happiness. #TuesdayMotivaton #happy #selfcare. Embedded video. 0:15. 3:05 PM · Jan 16, 2024. ·. 75. Views.",['happy'],https://twitter.com/RachelFederoff/status/1747273833772626279,https://twitter.com › RachelFederoff › status
4,Kristin Amarie,"Kristin Amarie · @Kristin_Amarie · #HAPPY #LOVE #DAY ❤️  ❤️. Embedded video. 0:43. 12:43 PM · Feb 14, 2024.",['HAPPY'],https://twitter.com/Kristin_Amarie/status/1757747338687152290,https://twitter.com › Kristin_Amarie › status
5,Kristian Alfonso,"Kristian Alfonso · @kristianalfonso · #happy #Saturday. Embedded video. 0:25. 5:04 PM · Mar 11, 2023.",['happy'],https://twitter.com/kristianalfonso/status/1634601291531046912,https://twitter.com › kristianalfonso › status
6,"sheryl lee ralph on X: ""Why am I crying 😢 #happy"" / X","Why am I crying #happy. Quote. Square profile picture · Abbott Elementary. @AbbottElemABC. ·. May 5, 2023. A school year to remember. ❤️ ...",['happy'],https://twitter.com/thesherylralph/status/1654544588483297280,https://twitter.com › thesherylralph › status
7,"Erika Alexander on X: ""#happy @repjohnlewis his favorite ...",happy @repjohnlewis his favorite song.,,https://twitter.com/EAlexTheGreat/status/1284794624750440449,https://twitter.com › EAlexTheGreat › status
8,malikgocrxzy,Blessed to see 17 ‼️ #HAPPY #BDAY #TO #MYSELF.,,https://twitter.com/malikgocrxzy/status/1759253507167645928,https://twitter.com › malikgocrxzy › status
9,Ashvini Bhave,"Smiles and scarves   #smile #happy #photoshoot #pose #nature #happyface #fridaymood #AshviniBhave. Image. 1:30 PM · Nov 29, 2023.",['happy'],https://twitter.com/AshviniBhave/status/1729855229678751777,https://twitter.com › AshviniBhave › status
10,Heather Mizeur,'s #Happy song on way home from long but very exciting day on campaign trail. Busting moves in the back seat!,['Happy'],https://twitter.com/heathermizeur/status/477267477198417920,https://twitter.com › heathermizeur › status
